match_index,moving_keypoint_index,reference_keypoint_index,moving_x_px,moving_y_px,reference_x_px,reference_y_px,descriptor_distance,is_ransac_inlier
236,435,615,34.1916618347168,139.12478637695312,33.8151969909668,140.18954467773438,148.88250732421875,1
237,404,584,31.83158302307129,227.80374145507812,32.18205642700195,228.591064453125,150.4858856201172,1
238,2541,3097,153.2377471923828,136.051025390625,152.51766967773438,134.6996307373047,154.03895568847656,1
239,2265,2806,139.07688903808594,230.90768432617188,138.75669860839844,230.525390625,157.13052368164062,1
240,2952,3591,174.37289428710938,188.9038848876953,174.22137451171875,188.41543579101562,157.33721923828125,1
241,2099,13787,129.7912139892578,247.82916259765625,130.7552947998047,247.6905517578125,161.41561889648438,1
242,3646,4453,216.53585815429688,158.3560791015625,216.28173828125,158.30088806152344,162.04319763183594,1
243,5991,7158,336.8365478515625,141.3569793701172,336.5201110839844,141.65086364746094,86.29020690917969,1
244,6394,7630,356.7118835449219,165.80691528320312,356.7642822265625,165.85186767578125,105.22357177734375,1
245,5851,6990,329.99542236328125,155.3472900390625,329.5648193359375,155.24501037597656,110.0772476196289,1
246,5726,6826,323.50982666015625,134.43704223632812,323.2111511230469,133.34385681152344,120.17487335205078,1
247,5514,11295,313.984375,208.51593017578125,313.28045654296875,207.80064392089844,125.5826416015625,1
248,5565,11269,316.16217041015625,229.3699188232422,314.24517822265625,229.44178771972656,132.11737060546875,1
249,5337,6377,305.7513427734375,188.71324157714844,305.0359191894531,187.44647216796875,138.48826599121094,1
250,6923,284,381.6468505859375,180.6582489013672,381.554443359375,180.7189178466797,139.02877807617188,1
251,5122,6124,293.2919616699219,157.76539611816406,292.8296203613281,157.50119018554688,141.38600158691406,1
252,7372,1040,402.7006530761719,195.4917755126953,402.3423156738281,195.99002075195312,141.76388549804688,1
253,6697,7961,370.9136047363281,146.43589782714844,370.1640930175781,145.74349975585938,143.9583282470703,1
254,5236,11611,299.3292236328125,247.69667053222656,298.8799133300781,247.71510314941406,144.2081756591797,1
255,8180,9799,445.85076904296875,130.0790557861328,445.9806213378906,130.8990020751953,145.17919921875,1
256,4749,12235,274.1274719238281,163.62222290039062,273.84442138671875,163.23468017578125,147.82421875,1
257,5302,6340,304.0423278808594,143.8819122314453,303.3282165527344,143.35498046875,150.91387939453125,1
258,7657,9163,418.13861083984375,153.37875366210938,418.0862121582031,152.2391357421875,151.5123748779297,1
259,5894,7049,332.098876953125,229.48681640625,332.03741455078125,229.3196258544922,152.44671630859375,1
260,5645,6738,319.9986877441406,183.9418487548828,319.8504943847656,184.2995147705078,154.76756286621094,1
261,7496,734,409.9146728515625,173.58840942382812,409.75885009765625,174.1310577392578,155.4541778564453,1
262,7712,295,421.31512451171875,131.10848999023438,421.3717041015625,130.92520141601562,155.99038696289062,1
263,5355,6427,306.864013671875,231.02981567382812,306.6651306152344,230.683837890625,157.9366912841797,1
264,5466,11318,311.7210693359375,173.4011993408203,312.0204162597656,174.07858276367188,158.2687530517578,1
265,7166,866,393.5442810058594,192.91873168945312,393.342041015625,192.7672576904297,158.84898376464844,1
266,3982,11446,235.76351928710938,133.50743103027344,235.5795440673828,133.5875701904297,161.51161193847656,1
267,4880,12063,280.2266845703125,221.2473907470703,280.2608337402344,220.9275665283203,161.96295166015625,1
268,4160,5080,245.61007690429688,222.18211364746094,246.00180053710938,222.9942626953125,162.23748779296875,1
269,5427,11348,310.0904235839844,148.22567749023438,310.4560241699219,148.13140869140625,166.1776123046875,1
270,6563,7826,364.7728576660156,172.57493591308594,365.0662536621094,172.7860870361328,166.43016052246094,1
271,6014,7237,337.8837890625,131.47344970703125,339.2059326171875,131.85301208496094,170.1646270751953,1
272,6239,7467,349.050537109375,181.8404998779297,349.2204284667969,181.39080810546875,172.8178253173828,1
273,7390,979,403.5587158203125,209.4127960205078,403.5143737792969,209.65966796875,174.34161376953125,1
274,3954,4836,234.47496032714844,256.0754699707031,234.0889434814453,254.7183380126953,175.40809631347656,1
