inlier_index,moving_keypoint_index,reference_keypoint_index,moving_x_px,moving_y_px,reference_x_px,reference_y_px,projected_reference_x_px,projected_reference_y_px,reprojection_error_px,descriptor_distance
126,8107,11309,830.7924194335938,83.22025299072266,830.496826171875,81.90615844726562,830.6483154296875,83.13095092773438,1.234125445587026,132.40846252441406
127,9825,4325,753.7752685546875,8.347799301147461,754.12060546875,6.894997596740723,753.6295776367188,8.247052192687988,1.4384574940718384,133.66001892089844
128,6844,10268,877.8818359375,98.09711456298828,877.4304809570312,97.5708999633789,877.7325439453125,98.01417541503906,0.5364095216659694,133.79087829589844
129,8103,11290,830.8255004882812,102.90774536132812,830.984130859375,102.9493408203125,830.6849975585938,102.81869506835938,0.3264185107184996,136.57965087890625
130,9800,9544,754.0866088867188,119.01667022705078,753.6836547851562,119.2022705078125,753.9595947265625,118.91815948486328,0.3960579813922908,137.2151641845703
131,11201,12853,735.3141479492188,51.297760009765625,735.1106567382812,50.847801208496094,735.1781005859375,51.19482421875,0.35351611311560066,138.60374450683594
132,6525,9967,892.5283813476562,108.71343231201172,891.9418334960938,109.59272003173828,892.3784790039062,108.6324462890625,1.0548862310056892,138.9892120361328
133,7971,4794,773.2303466796875,58.10605239868164,772.875244140625,58.47216796875,773.0904541015625,58.00856018066406,0.5111237701972545,150.9105682373047
134,8701,2786,710.2369995117188,109.99939727783203,709.6294555664062,109.39292907714844,710.113525390625,109.8949203491211,0.6973656371344209,159.94686889648438
135,4825,5476,795.7532348632812,104.91893005371094,795.3156127929688,104.80675506591797,795.6182861328125,104.82535552978516,0.3032443369763807,160.5926513671875
136,5519,5375,791.9513549804688,102.1709213256836,791.7977294921875,102.05781555175781,791.8164672851562,102.0767822265625,0.026661576069064344,163.52674865722656
137,7791,11047,842.85107421875,72.20340728759766,842.1696166992188,72.07588195800781,842.7030029296875,72.11566925048828,0.5348681141146748,164.77256774902344
138,793,8737,1096.2237548828125,104.93455505371094,1095.9483642578125,102.23417663574219,1096.02734375,104.8800277709961,2.6470296541804323,92.53107452392578
139,252,3319,1123.720947265625,117.05671691894531,1123.0419921875,116.23795318603516,1123.519775390625,117.00524139404297,0.9038849392130754,101.43470764160156
140,1437,4648,1072.877197265625,122.49871826171875,1072.8577880859375,123.20463562011719,1072.690673828125,122.44059753417969,0.7821006149641243,102.56217956542969
